outcome,model,n,term,coefficient,effect,effect_measure,se,test_statistic,df_test,p_method,CI_low,CI_high,p,significance
sleep_hours_by_drinks_per_day,Dose-response,2750,(Intercept),8.898185565887411,8.898185565887411,Beta (hours per additional drink),0.3461863075526088,25.703459009669764,15,Design-based Wald t test (df = PSU - strata),8.160306917975387,9.636064213799436,8.102955945930622e-14,***
sleep_hours_by_drinks_per_day,Dose-response,2750,drinks_per_day,-0.007052270003009233,-0.007052270003009233,Beta (hours per additional drink),0.014909269253375525,-0.47301245172781137,15,Design-based Wald t test (df = PSU - strata),-0.03883062517774482,0.024726085171726357,0.6430139484187192,NS
sleep_hours_by_drinks_per_day,Dose-response,2750,age_group30-44,-0.19094497651622722,-0.19094497651622722,Beta (hours per additional drink),0.09893085864082213,-1.9300851032686481,15,Design-based Wald t test (df = PSU - strata),-0.4018111102080459,0.019921157175591453,0.07272751184910846,NS
sleep_hours_by_drinks_per_day,Dose-response,2750,age_group45-59,-0.29537582398665985,-0.29537582398665985,Beta (hours per additional drink),0.07489350941625923,-3.943944225459601,15,Design-based Wald t test (df = PSU - strata),-0.45500756059732234,-0.13574408737599736,0.0012994496721090397,**
sleep_hours_by_drinks_per_day,Dose-response,2750,age_group60+,-0.13621194136728146,-0.13621194136728146,Beta (hours per additional drink),0.1356895131229409,-1.003850174065163,15,Design-based Wald t test (df = PSU - strata),-0.425427292450401,0.15300340971583806,0.33137076372136387,NS
sleep_hours_by_drinks_per_day,Dose-response,2750,genderMale,-0.3706121145581101,-0.3706121145581101,Beta (hours per additional drink),0.05464937221405409,-6.781635351756162,15,Design-based Wald t test (df = PSU - strata),-0.48709449412888267,-0.25412973498733754,6.182519567145681e-6,***
sleep_hours_by_drinks_per_day,Dose-response,2750,race_ethnicityNon-Hispanic Black,-0.37142511415906193,-0.37142511415906193,Beta (hours per additional drink),0.07307238778056326,-5.082974916249533,15,Design-based Wald t test (df = PSU - strata),-0.5271752218869111,-0.2156750064312127,0.00013490481166015901,***
sleep_hours_by_drinks_per_day,Dose-response,2750,race_ethnicityNon-Hispanic Asian,-0.07341411480754025,-0.07341411480754025,Beta (hours per additional drink),0.10090858296431758,-0.7275309260214298,15,Design-based Wald t test (df = PSU - strata),-0.28849566810991584,0.14166743849483532,0.4781037499658207,NS
sleep_hours_by_drinks_per_day,Dose-response,2750,race_ethnicityMexican American,0.1065638158772051,0.1065638158772051,Beta (hours per additional drink),0.0884526798577773,1.2047550854145812,15,Design-based Wald t test (df = PSU - strata),-0.08196860840919858,0.2950962401636088,0.24696258231887078,NS
sleep_hours_by_drinks_per_day,Dose-response,2750,race_ethnicityOther Hispanic,-0.03415516578810109,-0.03415516578810109,Beta (hours per additional drink),0.09217374229283537,-0.37055201338782967,15,Design-based Wald t test (df = PSU - strata),-0.23061884691070886,0.16230851533450666,0.7161517487044121,NS
sleep_hours_by_drinks_per_day,Dose-response,2750,race_ethnicityOther / Multi-racial,0.002037525457992508,0.002037525457992508,Beta (hours per additional drink),0.12491741997445935,0.01631097935267236,15,Design-based Wald t test (df = PSU - strata),-0.26421765257906843,0.26829270349505346,0.9872012766702907,NS
sleep_hours_by_drinks_per_day,Dose-response,2750,educationSome college/AA,-0.10939140927103529,-0.10939140927103529,Beta (hours per additional drink),0.0796990409675787,-1.372556155544398,15,Design-based Wald t test (df = PSU - strata),-0.2792658939229308,0.060483075380860216,0.1900658319767625,NS
sleep_hours_by_drinks_per_day,Dose-response,2750,educationHigh school/GED,-0.1688426228459952,-0.1688426228459952,Beta (hours per additional drink),0.10331286103417311,-1.6342846491314047,15,Design-based Wald t test (df = PSU - strata),-0.3890487735477637,0.05136352785577328,0.12300663519312366,NS
sleep_hours_by_drinks_per_day,Dose-response,2750,education9-11th grade,0.3097041391390727,0.3097041391390727,Beta (hours per additional drink),0.21706489779493462,1.4267813095770838,15,Design-based Wald t test (df = PSU - strata),-0.15295873862291975,0.7723670169010651,0.1741263060390623,NS
sleep_hours_by_drinks_per_day,Dose-response,2750,education<9th grade,0.09720041567455553,0.09720041567455553,Beta (hours per additional drink),0.1840913758408439,0.5280009192749481,15,Design-based Wald t test (df = PSU - strata),-0.295181063702885,0.489581895051996,0.6052224450285801,NS
sleep_hours_by_drinks_per_day,Dose-response,2750,poverty_ratio,-0.08894357928609962,-0.08894357928609962,Beta (hours per additional drink),0.026656137831844597,-3.336701657501324,15,Design-based Wald t test (df = PSU - strata),-0.14575979215416351,-0.03212736641803573,0.004506612485997566,**
sleep_hours_by_drinks_per_day,Dose-response,2750,partneredYes,0.02621362100133922,0.02621362100133922,Beta (hours per additional drink),0.10960431669707849,0.23916595432812862,15,Design-based Wald t test (df = PSU - strata),-0.20740245001403837,0.2598296920167168,0.8142139485072467,NS
sleep_hours_by_drinks_per_day,Dose-response,2750,DMDHHSIZ,-0.05402479621789252,-0.05402479621789252,Beta (hours per additional drink),0.03148710072864316,-1.7157755070395317,15,Design-based Wald t test (df = PSU - strata),-0.12113796275695385,0.013088370321168802,0.10677856509452519,NS
sleep_hours_by_drinks_per_day,Dose-response,2750,smoking_statusFormer,-0.01183078911116249,-0.01183078911116249,Beta (hours per additional drink),0.07507043818954474,-0.15759584460251885,15,Design-based Wald t test (df = PSU - strata),-0.1718396404752408,0.14817806225291585,0.8768771453832902,NS
