outcome,model,n,term,estimate,se,test_statistic,df_test,p_method,OR,CI_low,CI_high,p,significance
sleep_trouble_alcohol_x_gender,Interaction,3109,(Intercept),-2.791819243324405,0.6209498515579639,-4.496046236776976,15,Design-based Wald t test (df = PSU - strata),0.061309575361245594,0.016320349369294735,0.2303176204088019,4.2664688253420737e-4,***
sleep_trouble_alcohol_x_gender,Interaction,3109,alcohol_categoryDrinkers (non-binge),0.5334874227233767,0.20260055748606337,2.6331981971968395,15,Design-based Wald t test (df = PSU - strata),1.7048675470844321,1.1070009994144974,2.625628481490984,0.018812085374243767,*
sleep_trouble_alcohol_x_gender,Interaction,3109,alcohol_categoryBinge drinker,0.5397058639271477,0.26579500943307915,2.0305342266519597,15,Design-based Wald t test (df = PSU - strata),1.7155021968892004,0.973533747964024,3.022954051347819,0.06042094248036209,NS
sleep_trouble_alcohol_x_gender,Interaction,3109,genderMale,-0.2754497930054956,0.5154851781889864,-0.5343505587749617,15,Design-based Wald t test (df = PSU - strata),0.7592305498211951,0.25304689750527365,2.277961253288162,0.6009299416008947,NS
sleep_trouble_alcohol_x_gender,Interaction,3109,age_group30-44,0.28732448382622305,0.2072456792459386,1.3863955324504251,15,Design-based Wald t test (df = PSU - strata),1.3328566337355128,0.8569212756217948,2.0731272015666824,0.18588891026414217,NS
sleep_trouble_alcohol_x_gender,Interaction,3109,age_group45-59,0.6230203176851741,0.16472570932620362,3.782168067350174,15,Design-based Wald t test (df = PSU - strata),1.8645510824965599,1.312476459101108,2.6488480727647654,0.0018079661719213476,**
sleep_trouble_alcohol_x_gender,Interaction,3109,age_group60+,0.3190012977506603,0.21116584036528416,1.510667147673305,15,Design-based Wald t test (df = PSU - strata),1.375753110289388,0.8771405504027903,2.1578031247122063,0.15165054402548245,NS
sleep_trouble_alcohol_x_gender,Interaction,3109,race_ethnicityNon-Hispanic Black,-0.4542421896229864,0.1634489035777933,-2.779108208620013,15,Design-based Wald t test (df = PSU - strata),0.6349289414223418,0.4481508964365287,0.8995513874037094,0.014038842788693074,*
sleep_trouble_alcohol_x_gender,Interaction,3109,race_ethnicityNon-Hispanic Asian,-0.49510945511127324,0.15445262314871747,-3.2055749201135177,15,Design-based Wald t test (df = PSU - strata),0.6095041902961472,0.43853422127793884,0.8471296878633144,0.005896161148786677,**
sleep_trouble_alcohol_x_gender,Interaction,3109,race_ethnicityMexican American,-0.39580842585698256,0.24195193516150704,-1.6358969213979366,15,Design-based Wald t test (df = PSU - strata),0.6731356389690867,0.40191415091610316,1.1273840132712933,0.12266599893880774,NS
sleep_trouble_alcohol_x_gender,Interaction,3109,race_ethnicityOther Hispanic,-0.2990597542218064,0.2238051163362535,-1.336250748497132,15,Design-based Wald t test (df = PSU - strata),0.7415150994534438,0.4602023164916546,1.1947889504537552,0.20138585716912452,NS
sleep_trouble_alcohol_x_gender,Interaction,3109,race_ethnicityOther / Multi-racial,0.12388763718197632,0.3112874333643368,0.3979847044997022,15,Design-based Wald t test (df = PSU - strata),1.1318886816516727,0.5829780046590485,2.1976334911648143,0.6962482743672986,NS
sleep_trouble_alcohol_x_gender,Interaction,3109,educationSome college/AA,0.007378096126496643,0.17652704203264757,0.041795840691264234,15,Design-based Wald t test (df = PSU - strata),1.007405381340755,0.6915081185925672,1.4676119846862783,0.9672127217550426,NS
sleep_trouble_alcohol_x_gender,Interaction,3109,educationHigh school/GED,-0.24311403523783942,0.2185718377477325,-1.1122843534784779,15,Design-based Wald t test (df = PSU - strata),0.7841820842821063,0.49214156040339607,1.249521663655019,0.28352513884445874,NS
sleep_trouble_alcohol_x_gender,Interaction,3109,education9-11th grade,-0.15894725233807458,0.2685200789313509,-0.5919380515998977,15,Design-based Wald t test (df = PSU - strata),0.8530413537193715,0.48129049447811284,1.5119341842486147,0.5627085456775451,NS
sleep_trouble_alcohol_x_gender,Interaction,3109,education<9th grade,-0.343382678674474,0.25661075977525377,-1.3381460659530304,15,Design-based Wald t test (df = PSU - strata),0.7093667001041881,0.4105179737691845,1.2257712143430588,0.20078175978875107,NS
sleep_trouble_alcohol_x_gender,Interaction,3109,poverty_ratio,0.035948126861802515,0.04870481783968908,0.7380815380549219,15,Design-based Wald t test (df = PSU - strata),1.0366020732936398,0.9343877892648993,1.1499977532904586,0.4718552516436554,NS
sleep_trouble_alcohol_x_gender,Interaction,3109,partneredYes,-0.1028080878915517,0.11573116334946702,-0.8883353879465272,15,Design-based Wald t test (df = PSU - strata),0.9023001191849325,0.7050523501322904,1.1547305741600375,0.38838374326994796,NS
sleep_trouble_alcohol_x_gender,Interaction,3109,DMDHHSIZ,-0.05905104587950895,0.05108272484299475,-1.1559885668003267,15,Design-based Wald t test (df = PSU - strata),0.9426586490891251,0.8454119154198847,1.0510915596229764,0.26576678273833837,NS
sleep_trouble_alcohol_x_gender,Interaction,3109,smoking_statusFormer,0.28795808632312747,0.1846685051438394,1.5593242935433695,15,Design-based Wald t test (df = PSU - strata),1.33370140262224,0.8997363391797385,1.9769785368213202,0.13976548568018085,NS
sleep_trouble_alcohol_x_gender,Interaction,3109,smoking_statusCurrent,0.17873882227790766,0.16067047346568675,1.1124559380605774,15,Design-based Wald t test (df = PSU - strata),1.195708410983357,0.8489778475827918,1.6840470080191567,0.28345372366035265,NS
sleep_trouble_alcohol_x_gender,Interaction,3109,bmi_categoryUnderweight,-0.19035151943993284,0.47618158463760407,-0.39974565497907494,15,Design-based Wald t test (df = PSU - strata),0.8266684928177468,0.29959954632187125,2.280980747158352,0.6949782896830243,NS
