variable,n_missing,pct_missing
SMQ078,5077,86.7
SMD650,4848,82.79
SMD641,4835,82.56
ALQ270,4427,75.6
binge_niaaa,4427,75.6
ALQ280,4424,75.55
heavy_episodic,4424,75.55
SMQ040,3497,59.72
ALQ142,2370,40.47
binge_past_year,2370,40.47
ALQ130,2367,40.42
drinks_per_day,2367,40.42
binge_any,2366,40.4
alcohol_category,1781,30.41
alcohol_risk,1777,30.34
ALQ151,1319,22.52
ALQ121,1315,22.46
drinking_frequency,1315,22.46
drinking_frequency_rank,1315,22.46
INDFMPIR,835,14.26
poverty_ratio,835,14.26
poverty_category,835,14.26
depression_score,788,13.46
depression_score_no_sleep,788,13.46
depressed,788,13.46
DPQ060,773,13.2
DPQ080,772,13.18
DPQ040,771,13.17
DPQ090,771,13.17
DPQ010,770,13.15
DPQ030,770,13.15
DPQ070,770,13.15
DPQ020,769,13.13
DPQ050,769,13.13
ALQ111,726,12.4
alcohol_user,726,12.4
BMXWAIST,672,11.48
waist_circumference,672,11.48
SLQ030,449,7.67
snoring_frequent,449,7.67
BMXBMI,422,7.21
bmi,422,7.21
bmi_category,422,7.21
SLQ040,343,5.86
breathing_pauses,343,5.86
heart_disease,324,5.53
MCQ160D,317,5.41
MCQ160A,304,5.19
MCQ160B,304,5.19
arthritis,304,5.19
MCQ160C,303,5.17
DMDEDUC2,300,5.12
education,300,5.12
MCQ160E,297,5.07
DMDMARTL,293,5
marital_status,293,5
partnered,293,5
diabetes,178,3.04
SLD013,56,0.96
SLD012,47,0.8
sleep_hours,34,0.58
insufficient_sleep,34,0.58
SLQ120,12,0.2
daytime_sleepy,12,0.2
BPQ020,10,0.17
hypertension,10,0.17
SLQ050,5,0.09
sleep_trouble,5,0.09
DIQ010,4,0.07
SEQN,0,0
SDMVPSU,0,0
SDMVSTRA,0,0
WTMEC2YR,0,0
RIAGENDR,0,0
RIDAGEYR,0,0
RIDRETH3,0,0
DMDHHSIZ,0,0
age_years,0,0
age_group,0,0
gender,0,0
race_ethnicity,0,0
SMQ020,0,0
smoking_status,0,0
