outcome,model,n,term,estimate,se,test_statistic,df_test,p_method,OR,CI_low,CI_high,p,significance
sleep_trouble,Model 0,4072,(Intercept),-1.572284373745427,0.1624149996409042,-9.680659897310663,15,Design-based Wald t test (df = PSU - strata),0.20757047181916052,0.14683236003006156,0.29343327834823224,7.64543041568577e-8,***
sleep_trouble,Model 0,4072,alcohol_categoryDrinkers (non-binge),0.8222934698262346,0.17824242807351862,4.613343067157209,15,Design-based Wald t test (df = PSU - strata),2.275713136386902,1.556405082247599,3.327456545981668,3.379252169845767e-4,***
sleep_trouble,Model 0,4072,alcohol_categoryBinge drinker,0.6365343351746772,0.19508582572274827,3.2628425607881217,15,Design-based Wald t test (df = PSU - strata),1.8899196882413003,1.246972658446654,2.864374293860988,0.005243476637343463,**
sleep_trouble,Model 1,4072,(Intercept),-1.8426870281653467,0.2578647491404542,-7.145943888443894,15,Design-based Wald t test (df = PSU - strata),0.15839125203710697,0.09141801397161198,0.27442937810564183,3.3594647661944284e-6,***
sleep_trouble,Model 1,4072,alcohol_categoryDrinkers (non-binge),0.6823049231394129,0.16112916277762904,4.234521618417689,15,Design-based Wald t test (df = PSU - strata),1.9784326160017889,1.4033556231229984,2.789168726419546,7.208811744475235e-4,***
sleep_trouble,Model 1,4072,alcohol_categoryBinge drinker,0.7380993858181899,0.19577245784309594,3.770190117395104,15,Design-based Wald t test (df = PSU - strata),2.09195573294401,1.3782578436813115,3.17522501951327,0.0018528089140941659,**
sleep_trouble,Model 1,4072,age_group30-44,0.4417542985101036,0.159911776172827,2.762487598365934,15,Design-based Wald t test (df = PSU - strata),1.5554335211465258,1.1061775413573907,2.1871474950914895,0.014516777059035934,*
sleep_trouble,Model 1,4072,age_group45-59,0.9123466418659644,0.14990857439849348,6.086020399611866,15,Design-based Wald t test (df = PSU - strata),2.4901591942481773,1.809090221919989,3.4276304949112597,2.083628769655517e-5,***
sleep_trouble,Model 1,4072,age_group60+,0.9247927971631625,0.1631585209843858,5.668063130160789,15,Design-based Wald t test (df = PSU - strata),2.521345776232437,1.780739347372496,3.569969143830769,4.464236389351755e-5,***
sleep_trouble,Model 1,4072,genderMale,-0.4237602088386654,0.11389939766905159,-3.720478049146069,15,Design-based Wald t test (df = PSU - strata),0.6545808257876321,0.5134867628459758,0.8344442125713432,0.0020512394263649224,**
