outcome,model,n,term,estimate,se,test_statistic,df_test,p_method,OR,CI_low,CI_high,p,significance
insufficient_sleep,Model 4,3099,(Intercept),-3.6801232235995727,0.6743387627071808,-5.457380514246959,15,Design-based Wald t test (df = PSU - strata),0.025219866960961748,0.005991327494715524,0.10616039435160438,6.613811809027193e-5,***
insufficient_sleep,Model 4,3099,alcohol_categoryDrinkers (non-binge),-0.36071586189013904,0.29992956137853,-1.2026685873583929,15,Design-based Wald t test (df = PSU - strata),0.6971770648998883,0.3678792244204897,1.3212375898315374,0.24774557136536923,NS
insufficient_sleep,Model 4,3099,alcohol_categoryBinge drinker,-0.2224624058492213,0.2661258087478663,-0.8359294684567302,15,Design-based Wald t test (df = PSU - strata),0.8005451019977922,0.45398272153109,1.411667074401568,0.41631239173960854,NS
insufficient_sleep,Model 4,3099,age_group30-44,0.5679520649188314,0.2313590205923063,2.4548516131543403,15,Design-based Wald t test (df = PSU - strata),1.7646494608659054,1.077692289079297,2.8894961495870937,0.026784810500233524,*
insufficient_sleep,Model 4,3099,age_group45-59,0.7510949974465565,0.2163399960167962,3.4718268063028113,15,Design-based Wald t test (df = PSU - strata),2.1193193958506487,1.3363970328607773,3.3609134046144464,0.0034153848298759774,**
insufficient_sleep,Model 4,3099,age_group60+,0.6116764050449794,0.22428749989273564,2.7271979282729113,15,Design-based Wald t test (df = PSU - strata),1.843519294822576,1.1429571731766521,2.973482707963071,0.015584439216067999,*
insufficient_sleep,Model 4,3099,genderMale,0.5223128725639383,0.11941168588389997,4.374051573744347,15,Design-based Wald t test (df = PSU - strata),1.6859224676742408,1.307076402016277,2.1745741584992717,5.444958778958043e-4,***
insufficient_sleep,Model 4,3099,race_ethnicityNon-Hispanic Black,0.7097534599129912,0.18987274097405812,3.738048212038837,15,Design-based Wald t test (df = PSU - strata),2.033489860074832,1.3566918760240274,3.047914625349999,0.0019787684651500492,**
insufficient_sleep,Model 4,3099,race_ethnicityNon-Hispanic Asian,0.029110167774140643,0.17034900614919513,0.17088545705189126,15,Design-based Wald t test (df = PSU - strata),1.0295380101386107,0.716068000354377,1.4802344383432984,0.8665976039758787,NS
insufficient_sleep,Model 4,3099,race_ethnicityMexican American,-0.272068410753246,0.1520256408823364,-1.7896218636158843,15,Design-based Wald t test (df = PSU - strata),0.76180214384868294,0.5509543107174392,1.0533405312987596,0.09371969688885899,NS
