outcome,model,n,term,beta,se,test_statistic,df_test,p_method,CI_low,CI_high,p,significance
sleep_hours,Model 4,3099,(Intercept),8.766838487141941,0.33601729080425213,26.090438578796498,15,Design-based Wald t test (df = PSU - strata),8.050634585356992,9.48304238892689,6.505807436278526e-14,***
sleep_hours,Model 4,3099,alcohol_categoryDrinkers (non-binge),0.11801045364231778,0.11311467024148587,1.0432815954851835,15,Design-based Wald t test (df = PSU - strata),-0.1230877588400411,0.3591086661246767,0.3133412097441524,NS
sleep_hours,Model 4,3099,alcohol_categoryBinge drinker,0.130959207134844,0.10509365738583407,1.2461190369847803,15,Design-based Wald t test (df = PSU - strata),-0.09304262114140674,0.3549610354110947,0.23183220555933473,NS
sleep_hours,Model 4,3099,age_group30-44,-0.20601506562622554,0.09404636688107249,-2.1905691039266246,15,Design-based Wald t test (df = PSU - strata),-0.4064701515764354,-0.005559979676015708,0.044692271045480916,*
sleep_hours,Model 4,3099,age_group45-59,-0.37797486483516474,0.07759582355483466,-4.871072275791508,15,Design-based Wald t test (df = PSU - strata),-0.5433664476884535,-0.21258328198187593,2.0351607901953386e-4,***
sleep_hours,Model 4,3099,age_group60+,-0.18685746126857186,0.15052533913658828,-1.241368810994775,15,Design-based Wald t test (df = PSU - strata),-0.5076946269664839,0.13397970442934024,0.23353208785063362,NS
sleep_hours,Model 4,3099,genderMale,-0.3685237006660496,0.05135673356074218,-7.175762068866359,15,Design-based Wald t test (df = PSU - strata),-0.477987987075528,-0.25905941425657125,3.198391639177744e-6,***
sleep_hours,Model 4,3099,race_ethnicityNon-Hispanic Black,-0.33915792343487783,0.06833945751566237,-4.962841903700332,15,Design-based Wald t test (df = PSU - strata),-0.4848200291004379,-0.19349581776931774,1.7020697055909444e-4,***
sleep_hours,Model 4,3099,race_ethnicityNon-Hispanic Asian,-0.007971521130187186,0.08588438861842347,-0.0928168816058519,15,Design-based Wald t test (df = PSU - strata),-0.191029762221605,0.17508671996123065,0.9272773820971342,NS
sleep_hours,Model 4,3099,race_ethnicityMexican American,0.11728284719082466,0.09238908818213988,1.2694447959006603,15,Design-based Wald t test (df = PSU - strata),-0.07963983282967937,0.31420552721132866,0.22362526439187075,NS
sleep_hours,Model 4,3099,race_ethnicityOther Hispanic,-0.0646999940657168,0.09023164797279934,-0.7170432494508008,15,Design-based Wald t test (df = PSU - strata),-0.25702419913244956,0.12762421100101595,0.48436414480081735,NS
sleep_hours,Model 4,3099,race_ethnicityOther / Multi-racial,0.004302799508554409,0.1140180264085833,0.03773788798216291,15,Design-based Wald t test (df = PSU - strata),-0.23872087106564288,0.24732647008275171,0.9703943361770349,NS
sleep_hours,Model 4,3099,educationSome college/AA,-0.08426893874648511,0.07455086303689681,-1.1303549726148525,15,Design-based Wald t test (df = PSU - strata),-0.24317034188756786,0.07463246439459764,0.2760775990956202,NS
sleep_hours,Model 4,3099,educationHigh school/GED,-0.1251444504782124,0.09512409632770913,-1.3155914779687479,15,Design-based Wald t test (df = PSU - strata),-0.3278966623676923,0.07760776141126749,0.208065718107942,NS
sleep_hours,Model 4,3099,education9-11th grade,0.2969254797886027,0.22902109289946984,1.2964983968482757,15,Design-based Wald t test (df = PSU - strata),-0.19122142459557534,0.7850723841727807,0.21439551844668325,NS
sleep_hours,Model 4,3099,education<9th grade,0.2272092676250259,0.18385848290371476,1.235783435371941,15,Design-based Wald t test (df = PSU - strata),-0.16467581220740657,0.6190943474574584,0.23554327104237208,NS
sleep_hours,Model 4,3099,poverty_ratio,-0.0798489272215483,0.025540536268164434,-3.126360636408318,15,Design-based Wald t test (df = PSU - strata),-0.13428729164368033,-0.02541056279941626,0.006933516589823717,**
sleep_hours,Model 4,3099,partneredYes,0.007164933893600182,0.0990149200585139,0.07236216409977395,15,Design-based Wald t test (df = PSU - strata),-0.20388037246875673,0.2182102402559571,0.9432697613505174,NS
sleep_hours,Model 4,3099,DMDHHSIZ,-0.04834254721206665,0.028435337017341373,-1.7000870143576918,15,Design-based Wald t test (df = PSU - strata),-0.10895103337551797,0.01226593895138467,0.10974953404881674,NS
sleep_hours,Model 4,3099,smoking_statusFormer,-0.006869928558157124,0.07888847856022706,-0.087084054396008,15,Design-based Wald t test (df = PSU - strata),-0.17501674033525516,0.1612768832189409,0.9317565959275573,NS
sleep_hours,Model 4,3099,smoking_statusCurrent,-0.19489684087774528,0.08749312043526809,-2.2275676065518772,15,Design-based Wald t test (df = PSU - strata),-0.38138401266910416,-0.008409669086386434,0.04164183831700477,*
sleep_hours,Model 4,3099,bmi_categoryUnderweight,0.19592126993114886,0.30731593917900096,0.6375239450793063,15,Design-based Wald t test (df = PSU - strata),-0.4591071489752082,0.850949688837506,0.5333948260922918,NS
sleep_hours,Model 4,3099,bmi_categoryOverweight,-0.03844034408875925,0.10107542884075355,-0.38031344046358506,15,Design-based Wald t test (df = PSU - strata),-0.2538775209586428,0.17699683278112427,0.7090441306389621,NS
sleep_hours,Model 4,3099,bmi_categoryObese,0.07141320945322965,0.16012263725795003,0.4459907148430633,15,Design-based Wald t test (df = PSU - strata),-0.26988011296406067,0.41270653187052,0.6619742640967028,NS
