variable,alcohol_category,category,estimate,se,p_overall,n_unweighted
age_group,Non-drinker,18-29,0.286906766632411,0.02748742242542024,7.903185340947436e-12,585
age_group,Drinkers (non-binge),18-29,0.16026248756632974,0.013928405392716873,7.903185340947436e-12,2053
age_group,Binge drinker,18-29,0.32390076930063144,0.017050515366476077,7.903185340947436e-12,1437
age_group,Non-drinker,30-44,0.19586846639165667,0.023608519745808323,7.903185340947436e-12,585
age_group,Drinkers (non-binge),30-44,0.21776559409166368,0.017402538214160747,7.903185340947436e-12,2053
age_group,Binge drinker,30-44,0.3156704243878983,0.01827186719949213,7.903185340947436e-12,1437
age_group,Non-drinker,45-59,0.22223857057682317,0.029412221384677605,7.903185340947436e-12,585
age_group,Drinkers (non-binge),45-59,0.29437216759031687,0.015979283430482927,7.903185340947436e-12,2053
age_group,Binge drinker,45-59,0.24194349124156497,0.020204758872942347,7.903185340947436e-12,1437
age_group,Non-drinker,60+,0.2949861963991092,0.037495016452532476,7.903185340947436e-12,585
age_group,Drinkers (non-binge),60+,0.3275997507516897,0.02477528043251769,7.903185340947436e-12,2053
age_group,Binge drinker,60+,0.11848531506990523,0.018759875955189013,7.903185340947436e-12,1437
gender,Non-drinker,Female,0.6275249132016499,0.02778747595708343,1.0645168076191788e-5,585
gender,Drinkers (non-binge),Female,0.5579932242812117,0.01847204288875508,1.0645168076191788e-5,2053
gender,Binge drinker,Female,0.4355585916400928,0.02010625886627635,1.0645168076191788e-5,1437
gender,Non-drinker,Male,0.3724750867983501,0.02778747595708343,1.0645168076191788e-5,585
gender,Drinkers (non-binge),Male,0.4420067757187882,0.018472042888755077,1.0645168076191788e-5,2053
gender,Binge drinker,Male,0.5644414083599071,0.02010625886627635,1.0645168076191788e-5,1437
race_ethnicity,Non-drinker,Non-Hispanic White,0.46826089573788854,0.049243435659525374,2.4935934043269253e-8,585
race_ethnicity,Drinkers (non-binge),Non-Hispanic White,0.6534015269269433,0.024864978102032077,2.4935934043269253e-8,2053
race_ethnicity,Binge drinker,Non-Hispanic White,0.640155450990282,0.031176361199772254,2.4935934043269253e-8,1437
race_ethnicity,Non-drinker,Non-Hispanic Black,0.1438238321963914,0.026486396685648804,2.4935934043269253e-8,585
